status,service,categorySlug,priority,writingPriorityScore,clusterId,articleSlug,h1,primaryKeyword,primaryVolume,totalVolume,keywordCount,commercialOwner,textLengthRule,flags,approvedKeywords,publishedArticleSlug,publishedSemanticClusterId
published,desatascos,desatascos,P0-safety,178.2,wc-inodoro-atascado:como-desatascar-wc-inodoro,como-desatascar-un-water,¿Como Desatascar un Water?,como desatascar un water,720,3550,50,/desatascos/desatascar-wc,large-1400-2000-words,diy-review | chemical-safety-review,como desatascar un water | como desatascar el inodoro | como desatascar un wc muy atascado | como desatascar wc | como desatascar un wc remedio casero | como desatascar vater | atasco vater | atasco inodoro | como desatascar un wc de caca | como desembozar el wc | como desembozar un wc | como desatascar un retrete | vater atascado que hacer | como desatascar la taza del water | como desatascar un vater con caca | como desatascar el vater de casa | como desatascar un water muy atascado | que hacer si se atasca el vater | wc atascado que hacer | como desatascar un inodoro de forma casera,como-desatascar-un-water,wc-inodoro-atascado:como-desatascar-wc-inodoro
published,electricista,electricidad,P1-high,178.2,pequenos-trabajos-electricos:instalar-ventilador-techo,como-instalar-un-ventilador-de-techo-con-luz,¿Como Instalar un Ventilador de Techo con Luz?,como instalar un ventilador de techo con luz,590,3060,250,/electricista/pequenos-trabajos-electricos,large-1400-2000-words,,como instalar un ventilador de techo con luz | como montar un ventilador de techo | como instalar ventilador de techo | como montar ventilador de techo | como poner un ventilador de techo | como colocar un ventilador de techo | como instalar un ventilador en el techo | como se instala un ventilador de techo | como colgar un ventilador de techo | como colocar un ventilador de techo con luz | como conectar un ventilador de techo con luz | como se monta un ventilador de techo | como colocar ventilador techo | como instalar un ventilador de techo con mando a distancia | como instalar ventilador de techo cecotec | como montar un ventilador de techo con luz | como poner un ventilador de techo en escayola | como poner ventilador de techo en pladur | como se pone un ventilador de techo | como conectar un ventilador de techo,instalar-ventilador-techo-con-luz,electricidad-instalar-ventilador-techo
published,aire-acondicionado,climatizacion,P1-high,176.9,instalacion-potencia-precio:cuanto-cuesta-instalar-aire-acondicionado,cuanto-cuesta-instalar-aire-acondicionado,¿Cuanto Cuesta Instalar Aire Acondicionado?,cuanto cuesta instalar aire acondicionado,1900,3350,39,/aire-acondicionado/instalacion-aire-acondicionado,large-1400-2000-words,price-intent,cuanto cuesta instalar aire acondicionado | cuanto cuesta la instalacion de aire acondicionado | cuanto cuesta una instalacion de aire acondicionado | cuanto cuesta instalar aire acondicionado split | cuanto cuesta instalar un split aire acondicionado | cuanto cuesta instalar aire acondicionado en casa | precio instalacion aire acondicionado conductos | cuanto cuesta el montaje de un aire acondicionado | cuanto cuesta instalar aire acondicionado por conductos | precio instalacion aire acondicionado por conductos con preinstalacion | precio instalacion aire acondicionado por conductos sin preinstalacion | precio instalacion split aire acondicionado | cuanto cuesta instalar un aparato de aire acondicionado | precio instalacion aire acondicionado azotea | precio por instalar aire acondicionado | precio de instalar un aire acondicionado | cuanto cuesta instalar aire acondicionado en un piso | cuanto cuesta instalar un aire acondicionado por conductos | cuanto cuesta el montaje de aire acondicionado | cuanto cuesta instalar aire acondicionado 2x1,cuanto-cuesta-instalar-aire-acondicionado,instalacion-potencia-precio:cuanto-cuesta-instalar-aire-acondicionado
published,fontaneria,fontaneria,P1-high,171.6,grifos:cambiar-grifo-cocina-lavabo-ducha,como-cambiar-el-grifo-de-la-cocina,¿Como Cambiar el Grifo de la Cocina?,como cambiar el grifo de la cocina,590,2480,143,/fontanero/cambio-reparacion-grifos,large-1400-2000-words,price-intent | diy-or-commercial-review,como cambiar el grifo de la cocina | como cambiar el grifo de la ducha | como cambiar un grifo de lavabo | como cambiar grifo cocina | como cambiar un grifo | como cambiar grifo lavabo | como cambiar un grifo de pared | como cambiar grifo ducha | como cambiar grifo banera | como desmontar un grifo antiguo | como cambiar el grifo del fregadero | como cambiar un grifo de cocina de pared | como quitar un grifo de cocina | como cambiar el grifo de la banera | como desmontar grifo cocina | como quitar grifo cocina | como quitar un grifo de lavabo | como cambiar un grifo de bano | como quitar un grifo | precio cambiar grifo cocina,como-cambiar-el-grifo-de-la-cocina,grifos:cambiar-grifo-cocina-lavabo-ducha
published,desatascos,desatascos,P1-high,171.6,lavabo-ducha-atascados:como-desatascar-lavabo,como-desatascar-lavabo,¿Como Desatascar Lavabo?,como desatascar lavabo,1600,1950,84,/desatascos/desatascar-lavabo-ducha,large-1400-2000-words,diy-review,como desatascar lavabo | como desatascar un lavabo | como desatascar el lavabo del bano | como desatascar un lavabo muy atascado | como desembozar un lavabo | como desatascar lavabo bano | como destapar un lavabo | como limpiar desague lavabo | como limpiar el desague del lavabo | como se desatasca un lavabo | como desatascar el lavamanos | como desatascar la pica del bano | como arreglar desague lavabo | como desatascar el lavabo con bicarbonato | como desatascar la pica del lavabo | como desatascar la pila del bano | como desatascar lavabo con bicarbonato | como desatascar lavabo de bano | como desatascar lavamanos | como desatascar pica lavabo,como-desatascar-lavabo,lavabo-ducha-atascados:como-desatascar-lavabo
published,calefaccion,calefaccion,P0-safety,170.4,mantenimiento-revision-caldera:revision-caldera-gas,revisar-caldera-gas,Revisar Caldera Gas,revisar caldera gas,720,2080,27,/calefaccion/mantenimiento-calderas,large-1400-2000-words,gas-safety-review | price-intent,revisar caldera gas | revisar caldera | revision caldera obligatoria | revision caldera gas obligatoria | revision obligatoria caldera precio | revision caldera gas obligatoria pais vasco | revision de caldera de gas obligatoria | revision de la caldera obligatoria | revisiones obligatorias caldera gas | revision caldera obligatoria naturgy | revisiones caldera de gas obligatorias | revision caldera gas natural obligatoria | es obligatoria la revision de la caldera | es obligatoria la revision de la caldera de gas | obligacion revision caldera gas | revision anual caldera obligatoria | revision caldera gasoil obligatoria | revision de caldera es obligatoria | obligacion de revisar la caldera de gas | obligacion revision caldera,revisar-caldera-gas,mantenimiento-revision-caldera:revision-caldera-gas
published,aire-acondicionado,climatizacion,P1-high,169.2,instalacion-potencia-precio:frigorias-por-metro-cuadrado,frigorias-por-m2,Frigorias por M2,frigorias por m2,720,2300,91,/aire-acondicionado/instalacion-aire-acondicionado,large-1400-2000-words,,frigorias por m2 | frigorias por metro cuadrado | calculadora frigorias por m2 | calcular frigorias por m2 | aire acondicionado frigorias por metro cuadrado | frigorias necesarias por m2 | frigorias por metro cuadrado aire acondicionado | 3000 frigorias para cuantos metros cuadrados | calculo de frigorias por m2 | frigorias metro cuadrado | 3000 frigorias para cuantos metros | 2000 frigorias para cuantos metros | 2250 frigorias para cuantos metros cuadrados | que potencia necesita un aire acondicionado | 2500 frigorias cuantos metros cuadrados | 2700 frigorias para cuantos metros cuadrados | aire acondicionado cuantas frigorias por m2 | aire acondicionado frigorias m2 | calculador de frigorias por metro cuadrado | frigorias para 100 metros cuadrados,frigorias-por-m2,instalacion-potencia-precio:frigorias-por-metro-cuadrado
published,desatascos,desatascos,P1-high,168.6,olores-desagues:mal-olor-desague,olor-a-alcantarilla-en-casa,Olor a Alcantarilla en Casa,olor a alcantarilla en casa,390,2140,172,/desatascos,large-1400-2000-words,,olor a alcantarilla en casa | eliminar olor tuberia | eliminar olor tuberias | olor tuberia | olor tuberias | mal olor tuberias | quitar olor tuberias | olor a tuberia en casa | olor a tuberias en casa | quitar mal olor tuberias | olor a desague | olor a canerias | canerias con mal olor | mal olor canerias | mal olor desague lavadora | como quitar el mal olor de los desagues | eliminar olor desague | eliminar olor desagues | mal olor desague | quitar el mal olor de las tuberias,olor-a-alcantarilla-en-casa,olores-desagues:mal-olor-alcantarilla-casa
published,aire-acondicionado,climatizacion,P1-high,167.6,ahorro-uso:que-temperatura-poner-aire-acondicionado,a-que-temperatura-poner-el-aire-acondicionado-en-calor,A que Temperatura Poner el Aire Acondicionado en Calor,a que temperatura poner el aire acondicionado en calor,590,2690,52,/aire-acondicionado,large-1400-2000-words,,a que temperatura poner el aire acondicionado en calor | a que temperatura poner aire acondicionado | a que temperatura poner el modo dry | a que temperatura poner el aire acondicionado en verano | a que temperatura poner el aire acondicionado en invierno | a que temperatura hay que poner el aire acondicionado | a que temperatura se pone el aire acondicionado en invierno | a que temperatura se debe poner el aire acondicionado | a que temperatura se pone el aire acondicionado | a que temperatura se pone el aire acondicionado en verano | a que temperatura poner el aire acondicionado para dormir | a que temperatura es recomendable poner el aire acondicionado | a que temperatura poner aire acondicionado en invierno | a que temperatura poner el aire en invierno | a que temperatura pongo el aire acondicionado en invierno | aire acondicionado que temperatura poner | que temperatura poner aire acondicionado | a que temperatura debe ponerse el aire acondicionado | a que temperatura debemos poner el aire acondicionado | a que temperatura debo poner el aire acondicionado,a-que-temperatura-poner-el-aire-acondicionado-en-calor,ahorro-uso:que-temperatura-poner-aire-acondicionado
published,fontaneria,fontaneria,P1-high,166,termos-calentadores:como-vaciar-termo-electrico,como-vaciar-termo-electrico,¿Como Vaciar Termo Electrico?,como vaciar termo electrico,1300,1840,21,/fontanero/calentadores-termos,large-1400-2000-words,brand-specific,como vaciar termo electrico | como vaciar un termo electrico | como vaciar un termo | como vaciar un calentador electrico | como vaciar un termo de agua | como vaciar el agua de un termo electrico | como vaciar el termo electrico | como vaciar calentador electrico | como vaciar de agua un termo electrico | como vaciar termo | como vaciar un termo electrico horizontal | como vaciar termo electrico por valvula de seguridad | como vaciar un calentador de agua electrico | como vaciar un termo de agua electrico | como vaciar un termo electrico ariston | como vaciar un termo electrico cointra | como vaciar un termo electrico con valvula | como vaciar un termo electrico edesa | como vaciar un termo electrico fagor | como vaciar un termo electrico fleck,como-vaciar-termo-electrico,termos-calentadores:como-vaciar-termo-electrico
published,fontaneria,fontaneria,P1-high,165.2,grifos:grifo-gotea,como-arreglar-grifo-que-gotea,¿Como Arreglar Grifo que Gotea?,como arreglar grifo que gotea,590,1920,84,/fontanero/cambio-reparacion-grifos,large-1400-2000-words,,como arreglar grifo que gotea | como arreglar un grifo monomando de cocina que gotea | como arreglar un grifo que gotea del fregadero | como arreglar un grifo termostatico de ducha que gotea | como reparar un grifo monomando que gotea | como arreglar llave de paso que gotea | como arreglar un grifo monomando de ducha que gotea | como arreglar un grifo que gotea antiguo | como reparar grifo que gotea | porque gotea un grifo | como arreglar grifo monomando que gotea | como arreglar un grifo que gotea monomando | por que gotea un grifo | como arreglar un grifo de cocina que gotea | como arreglar un grifo de ducha que gotea | como arreglar un grifo monomando que gotea del fregadero | como arreglar un grifo de osmosis que gotea | como reparar un grifo monomando que pierde agua | grifo que gotea como arreglar | porque gotea el grifo de la cocina,como-arreglar-grifo-que-gotea,grifos:grifo-gotea
published,desatascos,desatascos,P1-high,164.7,lavabo-ducha-atascados:como-desatascar-ducha,como-desatascar-ducha,¿Como Desatascar Ducha?,como desatascar ducha,880,1740,58,/desatascos/desatascar-lavabo-ducha,large-1400-2000-words,diy-review,como desatascar ducha | como desatascar una ducha | como desatascar el plato de ducha | como desatascar un plato de ducha plano | como limpiar el desague de la ducha | como desatascar el desague de la ducha | como desatascar desague ducha | como desatascar la ducha de pelos | como limpiar el desague del plato de ducha | como quitar el mal olor del desague de la ducha | desague ducha huele mal | el desague de la ducha huele mal | como desatascar ducha de pelos | como desatascar la ducha con bicarbonato | como desatascar plato de ducha plano | como desatascar una ducha plana | como destapar el desague de la ducha | como limpiar desague de ducha | como quitar el olor del desague de la ducha | desague ducha mal olor,como-desatascar-ducha,lavabo-ducha-atascados:como-desatascar-ducha
published,desatascos,desatascos,P1-high,164.7,tuberias-atascadas:como-desatascar-tuberia,como-desatascar-tuberia,¿Como Desatascar Tuberia?,como desatascar tuberia,720,1630,99,/desatascos/desatasco-tuberias,large-1400-2000-words,,como desatascar tuberia | como desatascar desagues | como desatascar una tuberia general | como limpiar las tuberias de agua | como limpiar tuberias de agua | como desatascar el desague de la lavadora | como desatascar una tuberia muy atascada | como limpiar las tuberias | como destapar una tuberia | como limpiar las tuberias de cal | como limpiar tuberias de desague | como desatascar desague lavadora | como desatascar tuberias de agua | como desatascar tuberia general | como desatascar desague lavavajillas | como desatascar el desague del lavavajillas | como desatascar el tubo de desague de la lavadora | como desatascar un tubo de desague | como desatascar una tuberia de desague | como desatascar una tuberia de desague general,como-saber-tuberia-atascada,desatascos-tuberia-atascada
published,fontaneria,fontaneria,P0-safety,163.7,fugas-agua:detectar-fuga-agua,como-detectar-fuga-de-agua,¿Como Detectar Fuga de Agua?,como detectar fuga de agua,320,1310,109,/fontanero/reparacion-fugas,large-1400-2000-words,price-intent | gas-safety-review,como detectar fuga de agua | precio detectar fuga de agua | como localizar una fuga de agua en una tuberia enterrada | como detectar fuga de agua en casa | detectar fuga de agua sin romper | como encontrar una fuga de agua | como localizar una fuga de agua | precio detectar fuga de agua calefaccion | como saber si tengo una fuga de agua | como detectar fuga de agua en piscina | como detectar fuga en piscina | como detectar una fuga de agua en el suelo | como detectar una fuga de agua en una piscina | como detectar una fuga de agua que no se ve | como detectar fugas de agua en paredes | como detectar fugas de agua en una casa | como detectar fugas en una piscina | como detectar una fuga de agua en la pared | como encontrar fuga de agua en casa | como encontrar una fuga de agua en casa,que-hacer-fuga-agua-casa,fontaneria-fuga-agua-casa
published,calefaccion,calefaccion,P0-safety,162.5,caldera-pierde-agua-ruido:caldera-pierde-agua,caldera-pierde-agua,Caldera Pierde Agua,caldera pierde agua,210,1770,73,/calefaccion/reparacion-calderas,large-1400-2000-words,gas-safety-review | hydraulic-safety-review,caldera pierde agua | caldera pierde agua es peligroso | mi caldera pierde agua por debajo | valvula seguridad caldera gotea | caldera gotea agua | la caldera pierde agua | caldera gotea | la caldera gotea por debajo | mi caldera pierde agua | caldera pierde agua apagada | la caldera pierde agua por la valvula de seguridad | porque gotea la caldera | caldera pierde agua a chorros | porque pierde agua la caldera | caldera pierde agua por abajo | la caldera gotea agua | mi caldera gotea | caldera de gas pierde agua | caldera gotea por valvula de seguridad | el tubo de la caldera gotea,por-que-baja-la-presion-de-la-caldera-cada-poco,calderas:presion-baja-cada-poco
published,limpieza-tuberias,saneamiento,P0-safety,160.2,limpiar-tuberias-casa:como-limpiar-tuberias-casa,como-limpiar-las-tuberias-de-agua,¿Como Limpiar las Tuberias de Agua?,como limpiar las tuberias de agua,110,1240,282,/limpieza-tuberias,large-1400-2000-words,diy-or-commercial-review | diy-review | chemical-safety-review,liquido para limpiar tuberias de agua potable | limpiar el desague del fregadero | como limpiar las tuberias de agua | como limpiar tuberias de agua | limpiar tuberia fregadero | limpiar tuberias con bicarbonato y vinagre | limpiar tuberias fregadero | limpiar tuberias de cal | como limpiar las tuberias | como limpiar tuberias | como quitar la cal de las tuberias | como limpiar las tuberias del bano | como limpiar las tuberias del fregadero | como limpiar tuberias de cal | como limpiar tuberias de cobre por dentro | como limpiar tuberias de desague | limpiar desague fregadero bicarbonato | limpiar tuberias con bicarbonato | productos para limpiar tuberias | como limpiar las tuberias de agua potable,como-limpiar-las-tuberias-de-agua,limpiar-tuberias-casa:como-limpiar-tuberias-agua
published,electricista,electricidad,P1-high,159.8,enchufes-interruptores:cambiar-enchufe,como-cambiar-enchufe,¿Como Cambiar Enchufe?,como cambiar enchufe,590,1280,74,/electricista/enchufes-interruptores,large-1400-2000-words,brand-specific,como cambiar enchufe | como cambiar enchufe de pared | como cambiar un enchufe antiguo | como cambiar un enchufe de luz | como se cambia un enchufe | como desmontar un enchufe | como cambiar un enchufe de sitio | como cambiar un enchufe viejo por uno nuevo | como mover un enchufe de pared | como cambiar enchufe antiguo por uno nuevo | como cambiar enchufe de luz | como cambiar un enchufe antiguo por uno nuevo | como cambiar un interruptor de luz y enchufe | como se cambia un enchufe de pared | como cambiar caja de enchufe | como cambiar clavija enchufe | como cambiar el enchufe | como cambiar el enchufe de la pared | como cambiar el enchufe de un aire acondicionado | como cambiar el enchufe de un cable,como-cambiar-enchufe,enchufes-interruptores:cambiar-enchufe
published,calefaccion,calefaccion,P0-safety,159.4,caldera-no-enciende:que-hacer-caldera-no-enciende,la-caldera-no-arranca-al-abrir-el-grifo,La Caldera No Arranca al Abrir el Grifo,la caldera no arranca al abrir el grifo,210,1250,94,/calefaccion/reparacion-calderas,large-1400-2000-words,gas-safety-review | electrical-safety-review,la caldera no arranca al abrir el grifo | caldera domusa no arranca | caldera de gasoil no arranca | caldera gasoil no arranca | caldera junker no enciende | caldera no enciende | caldera no funciona calefaccion pero si agua | caldera lasian gasoil no arranca | caldera no funciona | caldera de dietrich no arranca | caldera de gas no enciende | caldera domusa no arranca el quemador | caldera sime no arranca | caldera tifell no arranca | caldera domusa gasoil no arranca | caldera fagor super compact fe24e no funciona | caldera no arranca | caldera no enciende ninguna luz | la caldera de gasoil no arranca al abrir el grifo | la caldera de la calefaccion no arranca,caldera-no-arranca-que-revisar,calefaccion-caldera-no-arranca
published,electricista,electricidad,P1-high,159.1,pequenos-trabajos-electricos:instalar-lampara-techo,como-poner-lampara-de-techo,¿Como Poner Lampara de Techo?,como poner lampara de techo,260,1320,170,/electricista/pequenos-trabajos-electricos,large-1400-2000-words,,como poner lampara de techo | como cambiar lampara de techo | como cambiar bombilla plafon techo | como colocar lampara de techo | como conectar una lampara de techo con dos cables | como quitar lampara de techo | como poner plafones en el techo | como conectar una lampara de techo | como instalar lampara de techo | como instalar lamparas de techo | como quitar una lampara de techo redonda | como instalar plafon led de techo | como instalar un ventilador de techo con lampara | como instalar una lampara ventilador de techo | como instalar ventilador de techo con lampara | como poner una lampara de techo colgante | como cambiar un plafon de techo | como cambiar una lampara de techo redonda | como conectar una lampara de techo con 3 cables | como instalar lampara ventilador de techo,como-poner-lampara-de-techo,pequenos-trabajos-electricos:instalar-lampara-techo
