decision,notes,group,landing,keyword,dataforseo_volume,dataforseo_cpc,dataforseo_competition,seo_type,seo_source,dataforseo_seed,dataforseo_source,recommended_match_types
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambiar bañera por plato de ducha,3600,5.31,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambio de bañera por ducha,1300,4.91,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambiar bañera por ducha precio,1000,3.83,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambiar plato de ducha,880,5.19,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,precio cambiar bañera por ducha,590,2.35,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,precio cambiar bañera por ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-55-precio-cambiar-banera-por-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambio baño por ducha,480,3.93,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,precio cambiar bañera por ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-55-precio-cambiar-banera-por-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,quitar bañera poner ducha,320,2.85,MEDIUM,seoBlockKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,quitar bañera y poner ducha,320,2.85,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,reparar plato ducha resina,320,0.3,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,instalacion de plato ducha,260,4.78,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,instalar plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-04-instalar-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,instalar plato de ducha,170,3.37,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,instalar plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-04-instalar-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambiar desague plato ducha,110,0.08,LOW,seoBlockKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,montar plato de ducha,110,9.19,MEDIUM,seoBlockKw,data/fontanero/child-services-seo.ts,instalar plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-04-instalar-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,reparar grieta plato ducha,110,0.44,HIGH,seoBlockKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambio de baño por ducha,40,3.23,HIGH,seoBlockKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,cambiar grifo cocina,720,0.84,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,cambiar grifo cocina,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-41-cambiar-grifo-cocina.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,grifo gotea,480,1.39,LOW,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,cambiar grifo ducha,390,0.57,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar grifo ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-51-cambiar-grifo-ducha.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,cambiar grifo lavabo,390,0.09,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,cambiar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-38-cambiar-lavabo.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,arreglar goteo grifo,320,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,cambiar grifo bañera,210,0.09,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar grifo ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-51-cambiar-grifo-ducha.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,reparar grifo monomando cocina,90,,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,reparar grifo monomando,70,0.02,LOW,seoBlockKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,precio cambiar grifo cocina,30,1.49,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,cambiar grifo cocina,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-41-cambiar-grifo-cocina.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,reparar grifo termostático,30,,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Cambio reparacion grifos,/fontanero/cambio-reparacion-grifos,precio fontanero cambiar grifo,10,1.19,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,fontanero,.tmp\keyword-providers\dataforseo\2026-06-14-18-26-24-fontanero.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos,4400,4.71,MEDIUM,lockedPrimaryKw,data/fontanero/child-services-seo.ts,desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-13-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos urgentes,1300,6.17,LOW,secondaryKw,data/fontanero/child-services-seo.ts,desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-13-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos cerca de mi,720,3.85,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-13-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,empresa de desatascos,720,5.63,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-13-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,empresa desatascos,480,4.3,LOW,secondaryKw,data/fontanero/child-services-seo.ts,desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-13-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,cuba desatascos,390,5.88,MEDIUM,seoBlockKw,data/fontanero/child-services-seo.ts,camion cuba,.tmp\keyword-providers\dataforseo\2026-06-15-14-43-54-camion-cuba.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos valencia,390,3.7,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,desatascos valencia,.tmp\keyword-providers\dataforseo\2026-06-14-18-27-30-desatascos-valencia.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos en valencia,320,5.5,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,desatascos valencia,.tmp\keyword-providers\dataforseo\2026-06-14-18-27-30-desatascos-valencia.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,camión cuba desatascos,260,4.41,MEDIUM,seoBlockKw,data/fontanero/child-services-seo.ts,camion cuba,.tmp\keyword-providers\dataforseo\2026-06-15-14-43-54-camion-cuba.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,empresa desatascos valencia,260,2.3,LOW,secondaryKw,data/fontanero/child-services-seo.ts,desatascos valencia,.tmp\keyword-providers\dataforseo\2026-06-14-18-27-30-desatascos-valencia.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,camion desatascos,210,4.33,MEDIUM,seoBlockKw,data/fontanero/child-services-seo.ts,empresa desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-27-empresa-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos tuberias,170,4.12,HIGH,seoBlockKw,data/fontanero/child-services-seo.ts,desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-13-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos urgentes valencia,70,5.44,LOW,secondaryKw,data/fontanero/child-services-seo.ts,desatascos valencia,.tmp\keyword-providers\dataforseo\2026-06-14-18-27-30-desatascos-valencia.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,arqueta desatascos,50,4.99,LOW,seoBlockKw,data/fontanero/child-services-seo.ts,desatascos,.tmp\keyword-providers\dataforseo\2026-06-15-14-30-13-desatascos.json,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,fontanero desatascos,50,3.59,MEDIUM,seoBlockKw,data/fontanero/child-services-seo.ts,fontanero,.tmp\keyword-providers\dataforseo\2026-06-14-18-26-24-fontanero.json,EXACT + PHRASE
review,,Descalcificadores osmosis,/fontanero/descalcificadores-osmosis,mantenimiento descalcificador,140,6.64,LOW,lockedPrimaryKw,data/fontanero/child-services-seo.ts,mantenimiento descalcificador,.tmp\keyword-providers\dataforseo\2026-06-14-19-45-46-mantenimiento-descalcificador.json,EXACT + PHRASE
review,,Descalcificadores osmosis,/fontanero/descalcificadores-osmosis,mantenimiento de descalcificador,50,1.1,LOW,secondaryKw,data/fontanero/child-services-seo.ts,mantenimiento descalcificador,.tmp\keyword-providers\dataforseo\2026-06-14-19-45-46-mantenimiento-descalcificador.json,EXACT + PHRASE
review,,Descalcificadores osmosis,/fontanero/descalcificadores-osmosis,mantenimiento osmosis,50,2.91,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,mantenimiento osmosis,.tmp\keyword-providers\dataforseo\2026-06-14-19-45-12-mantenimiento-osmosis.json,EXACT + PHRASE
review,,Descalcificadores osmosis,/fontanero/descalcificadores-osmosis,mantenimiento osmosis inversa,20,4.61,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,mantenimiento osmosis,.tmp\keyword-providers\dataforseo\2026-06-14-19-45-12-mantenimiento-osmosis.json,EXACT + PHRASE
review,,Descalcificadores osmosis,/fontanero/descalcificadores-osmosis,reparacion descalcificadores,20,4.63,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparar descalcificador,.tmp\keyword-providers\dataforseo\2026-06-14-19-45-37-reparar-descalcificador.json,EXACT + PHRASE
review,,Descalcificadores osmosis,/fontanero/descalcificadores-osmosis,reparar descalcificador,20,3.91,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparar descalcificador,.tmp\keyword-providers\dataforseo\2026-06-14-19-45-37-reparar-descalcificador.json,EXACT + PHRASE
review,,Descalcificadores osmosis,/fontanero/descalcificadores-osmosis,reparar osmosis,10,1.27,LOW,secondaryKw,data/fontanero/child-services-seo.ts,reparar osmosis,.tmp\keyword-providers\dataforseo\2026-06-14-19-45-04-reparar-osmosis.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo de presion de agua,1900,0.2,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,grupo presion agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-00-grupo-presion-agua.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo de presión,880,0.31,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,grupo presion agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-00-grupo-presion-agua.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo presion agua,590,0.2,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,grupo presion agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-00-grupo-presion-agua.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo presion,260,0.2,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,grupo presion agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-00-grupo-presion-agua.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo presión agua doméstico,170,0.15,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,grupo presion agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-00-grupo-presion-agua.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo de presión de agua para comunidades,110,0.39,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,grupo presion agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-00-grupo-presion-agua.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo de presión para vivienda,90,0.16,HIGH,keywordTags,data/fontanero/child-services-seo.ts,bomba de agua vivienda,.tmp\keyword-providers\dataforseo\2026-06-14-19-43-51-bomba-de-agua-vivienda.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,instalacion bomba de agua,90,0.29,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,instalar bomba de agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-43-37-instalar-bomba-de-agua.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,bomba de agua no arranca,50,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,bomba agua no arranca,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-31-bomba-agua-no-arranca.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,bomba de agua para vivienda,40,0.1,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,bomba de agua vivienda,.tmp\keyword-providers\dataforseo\2026-06-14-19-43-51-bomba-de-agua-vivienda.json,EXACT + PHRASE
review,,Grupos presion agua,/fontanero/grupos-presion-agua,grupo de presión para comunidades,10,,HIGH,keywordTags,data/fontanero/child-services-seo.ts,grupo presion agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-44-00-grupo-presion-agua.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,cambiar inodoro,210,1.55,HIGH,seoBlockKw,data/fontanero/child-services-seo.ts,cambiar inodoro,.tmp\keyword-providers\dataforseo\2026-06-14-19-36-10-cambiar-inodoro.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,instalar inodoro,110,0.65,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,instalar sanitario,.tmp\keyword-providers\dataforseo\2026-06-14-19-29-14-instalar-sanitario.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,instalacion sanitario,90,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,instalar inodoro,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-54-instalar-inodoro.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,cambiar vater,40,0.03,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar inodoro,.tmp\keyword-providers\dataforseo\2026-06-14-19-36-10-cambiar-inodoro.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,cuanto cobra un fontanero por cambiar un inodoro,40,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cambiar inodoro precio,.tmp\keyword-providers\dataforseo\2026-06-18-18-07-28-cambiar-inodoro-precio.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,instalacion de sanitario,40,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,instalar sanitario,.tmp\keyword-providers\dataforseo\2026-06-14-19-29-14-instalar-sanitario.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,instalacion de sanitarios,40,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,instalar inodoro,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-54-instalar-inodoro.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,instalar vater,20,0.06,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,instalar inodoro,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-54-instalar-inodoro.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,colocacion de sanitarios,10,,MEDIUM,seoBlockKw,data/fontanero/child-services-seo.ts,instalar sanitario,.tmp\keyword-providers\dataforseo\2026-06-14-19-29-14-instalar-sanitario.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,instalar sanitario,10,0.06,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,instalar sanitario,.tmp\keyword-providers\dataforseo\2026-06-14-19-29-14-instalar-sanitario.json,EXACT + PHRASE
review,,Instalacion cambio inodoros,/fontanero/instalacion-cambio-inodoros,precio instalacion sanitarios,10,,LOW,seoBlockKw,data/fontanero/child-services-seo.ts,instalar sanitario,.tmp\keyword-providers\dataforseo\2026-06-14-19-29-14-instalar-sanitario.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,cambiar desague lavabo,170,0.09,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-38-cambiar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,cambiar sifon lavabo,90,0.16,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-38-cambiar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,cambiar lavabo,70,0.07,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,cambiar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-38-cambiar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,cambiar valvula lavabo,40,0.05,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-38-cambiar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,instalar lavabo,40,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,instalar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-30-instalar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,instalar lavabo suspendido,40,0.25,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,instalar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-30-instalar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,poner desague lavabo,40,0.55,HIGH,seoBlockKw,data/fontanero/child-services-seo.ts,instalar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-30-instalar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,montaje lavabo,30,0.22,LOW,secondaryKw,data/fontanero/child-services-seo.ts,instalar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-30-instalar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,montar lavabo sobre encimera,30,0.25,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,instalar lavabo,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-30-instalar-lavabo.json,EXACT + PHRASE
review,,Instalacion lavabos,/fontanero/instalacion-lavabos,arreglar lavabo que gotea,10,,,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Instalaciones fontaneria,/fontanero/instalaciones,instalacion fontaneria baño,320,2.52,LOW,secondaryKw,data/fontanero/child-services-seo.ts,instalar inodoro,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-54-instalar-inodoro.json,EXACT + PHRASE
review,,Instalaciones fontaneria,/fontanero/instalaciones,instalacion fontaneria en pladur,110,0.05,LOW,secondaryKw,data/fontanero/child-services-seo.ts,instalacion fontaneria en pladur,.tmp\keyword-providers\dataforseo\2026-06-18-18-29-52-instalacion-fontaneria-en-pladur.json,EXACT + PHRASE
review,,Instalaciones fontaneria,/fontanero/instalaciones,instalacion inodoro,110,1.8,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,instalar sanitario,.tmp\keyword-providers\dataforseo\2026-06-14-19-29-14-instalar-sanitario.json,EXACT + PHRASE
review,,Mamparas ducha,/fontanero/mamparas-ducha,cambiar mampara ducha,210,1.18,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Mamparas ducha,/fontanero/mamparas-ducha,reparacion de mamparas de baño,110,2.26,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Mamparas ducha,/fontanero/mamparas-ducha,cambiar mampara bañera,70,1.42,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
